p1	p2	label	pred_p1_p2	pred_p2_p1	delta	abs_delta
P61073	Q96HR9	1	0.5403706431388855	0.55266273021698	0.012292087078094482	0.012292087078094482
P46782	P40429	1	0.7026697397232056	0.7058863639831543	0.0032166242599487305	0.0032166242599487305
P18621	Q14562	1	0.687985360622406	0.6863225698471069	-0.0016627907752990723	0.0016627907752990723
Q8IX01	P62072	1	0.3680926561355591	0.3798971176147461	0.011804461479187012	0.011804461479187012
P61513	P25398	1	0.48595401644706726	0.48650968074798584	0.0005556643009185791	0.0005556643009185791
P40692	O60888	1	0.37827426195144653	0.38041603565216064	0.0021417737007141113	0.0021417737007141113
P01106	Q8IYR2	1	0.4432726204395294	0.43547114729881287	-0.007801473140716553	0.007801473140716553
Q9NTG7	O95571	1	0.6967312693595886	0.6971617341041565	0.0004304647445678711	0.0004304647445678711
Q96C86	P13010	1	0.5343573689460754	0.5251724123954773	-0.009184956550598145	0.009184956550598145
Q16650	P0C7T5	1	0.6717367768287659	0.6713685989379883	-0.0003681778907775879	0.0003681778907775879
Q9HCE5	P62280	1	0.6807276606559753	0.6814725399017334	0.0007448792457580566	0.0007448792457580566
Q75WM6	Q96K58	1	0.6903993487358093	0.6909801363945007	0.0005807876586914062	0.0005807876586914062
Q9Y581	Q9UL63	1	0.4534760117530823	0.45026397705078125	-0.0032120347023010254	0.0032120347023010254
Q9NWS0	P52435	1	0.4233521521091461	0.42198219895362854	-0.0013699531555175781	0.0013699531555175781
O94761	O60884	1	0.4882911145687103	0.49482616782188416	0.006535053253173828	0.006535053253173828
Q9UBW7	Q8IZ40	1	0.6371915936470032	0.6369785666465759	-0.0002130270004272461	0.0002130270004272461
O15446	Q8TDD1	1	0.6977588534355164	0.6981300115585327	0.0003711581230163574	0.0003711581230163574
Q04837	P09001	1	0.7045392990112305	0.7067921757698059	0.0022528767585754395	0.0022528767585754395
Q9H0U6	Q6PK04	1	0.7020657658576965	0.6969954371452332	-0.005070328712463379	0.005070328712463379
P23025	Q6AHZ1	1	0.655177116394043	0.6566095352172852	0.0014324188232421875	0.0014324188232421875
Q96LY2	Q9Y5K5	1	0.4408329129219055	0.4360721707344055	-0.0047607421875	0.0047607421875
Q15554	Q9BWE0	1	0.6324618458747864	0.6251977682113647	-0.007264077663421631	0.007264077663421631
P19447	O60911	1	0.5262513160705566	0.5239805579185486	-0.0022707581520080566	0.0022707581520080566
Q13304	Q9NR50	1	0.3872804343700409	0.3915517330169678	0.00427129864692688	0.00427129864692688
Q9UGM1	Q8N5K1	1	0.6936429142951965	0.6930124163627625	-0.000630497932434082	0.000630497932434082
Q9H9D4	Q9UJX6	1	0.6119001507759094	0.6205965280532837	0.008696377277374268	0.008696377277374268
Q9H9Y6	O15446	1	0.6381568908691406	0.635594367980957	-0.0025625228881835938	0.0025625228881835938
Q9UH92	Q9NP71	1	0.6285842061042786	0.6344616413116455	0.005877435207366943	0.005877435207366943
Q96LL9	Q8N5M9	1	0.6374529600143433	0.64060378074646	0.0031508207321166992	0.0031508207321166992
Q96S52	O75937	1	0.3528806269168854	0.3535597324371338	0.0006791055202484131	0.0006791055202484131
O95786	Q8IWZ8	1	0.5128029584884644	0.5163606405258179	0.0035576820373535156	0.0035576820373535156
P09001	P46782	1	0.7012603282928467	0.6953633427619934	-0.0058969855308532715	0.0058969855308532715
P51553	Q8IWZ8	1	0.3579918444156647	0.36035633087158203	0.0023644864559173584	0.0023644864559173584
P40429	Q6DKI1	1	0.7058842182159424	0.7037603259086609	-0.002123892307281494	0.002123892307281494
O95793	P78347	1	0.6345577836036682	0.641284704208374	0.0067269206047058105	0.0067269206047058105
Q8N5U1	P55011	1	0.42628923058509827	0.4308849573135376	0.004595726728439331	0.004595726728439331
P51674	P37840	1	0.6952486038208008	0.696387767791748	0.0011391639709472656	0.0011391639709472656
A6NE02	Q9HAZ2	1	0.394881933927536	0.3958744406700134	0.000992506742477417	0.000992506742477417
Q8TCC3	Q9NVP1	1	0.6687335968017578	0.6491448283195496	-0.019588768482208252	0.019588768482208252
Q92830	Q5T6C5	1	0.6444244980812073	0.6431645154953003	-0.0012599825859069824	0.0012599825859069824
Q9P0M6	Q9NXV6	1	0.6577838063240051	0.6557984352111816	-0.0019853711128234863	0.0019853711128234863
O00409	Q9NP55	1	0.3420027196407318	0.34300678968429565	0.0010040700435638428	0.0010040700435638428
Q86SX6	Q9HC38	1	0.405225545167923	0.41217294335365295	0.0069473981857299805	0.0069473981857299805
